S.No.,District,AC Number,AC Name,Candidate Name
1,West Champaran,6,Nautan,Santosh Chaudhary
2,East Champaran,10,Raxaul,Kapil Dev Prasad alias Bhuvan Patel
3,East Champaran,12,Narkatia,Lal Babu Yadav
4,East Champaran,15,Kesaria,Naaz Ahmad Khan alias Pappu Khan
5,East Champaran,16,Kalyanpur,Dr. Mantosh Sahni
6,East Champaran,20,Chiraia,Sanjay Singh
7,Sheohar,22,Sheohar,Niraj Singh
8,Sitamarhi,23,Riga,Krishna Mohan
9,Sitamarhi,24,Bathnaha (SC),Dr Naval Kishore Chowdhary
10,Sitamarhi,27,Bajpatti,Azam Hussain Anwar
11,Sitamarhi,28,Sitamarhi,Ziauddin Khan
12,Madhubani,31,Harlakhi,Ratneshwar Thakur
13,Madhubani,37,Rajnagar (SC),Dr Surendra Kumar Das
14,Madhubani,38,Jhanjharpur,Keshav Bhandari
15,Supaul,42,Pipra,Indradev Sah
16,Supaul,44,Triveniganj (SC),Pradeep Ram
17,Araria,46,Narpatganj,Janardan Yadav
18,Kishanganj,53,Thakurganj,Md Ekramul Haque
19,Purnia,58,Kasba,Ittefaque Alam alias Munna
20,Purnia,59,Banmankhi (SC),Manoj Kumar Rishi
21,Purnia,60,Rupauli,Amod Kumar
22,Katihar,63,Katihar,Dr. Gazi Sharique
23,Katihar,64,Kadwa,Md. Shahryar
24,Katihar,65,Balrampur,Ashab Alam
25,Katihar,67,Manihari (ST),Bablu Soren
26,Katihar,69,Korha (SC),Nirmal Kumar Raj
27,Madhepura,72,Singheshwar (SC),Pramod Kumar Ram
28,Madhepura,73,Madhepura,Shashi Kumar Yadav
29,Saharsa,74,Sonbarsha (SC),Satyendra Hazra
30,Darbhanga,78,Kusheshwar Asthan (SC),Shatrudhan Paswan
31,Darbhanga,79,Gaura Bauram,Dr. Iftkar Alam
32,Darbhanga,85,Bahadurpur,Aamir Haider
33,Siwan,110,Barharia,Dr. Shahnawaz
34,Siwan,111,Goriakothi,Ezaz Ahmed Siddique
35,Saran,116,Taraiya,Satyendra Kumar Sahani
36,Vaishali,127,Raja Pakar (SC),Mukesh Kumar Ram
37,Vaishali,129,Mahnar,Dr. Rajesh Chourasia
38,Vaishali,130,Patepur (SC),Dashai Chaudhary
39,Samastipur,132,Warisnagar,Satya Narayan Alias Pradeep Sahni
40,Samastipur,134,Ujiarpur,Durga Prasad Singh
41,Samastipur,139,Rosera (SC),Rohit Paswan
42,Samastipur,140,Hasanpur,Indu Gupta
43,Begusarai,141,Cheria Bariarpur,Dr Mrityunjay
44,Begusarai,147,Bakhri (SC),Dr. Sanjay Kumar Paswan
45,Khagaria,148,Alauli (SC),Abhishank Kumar
46,Bhagalpur,155,Kahalgaon,Manjar Alam
47,Bhagalpur,156,Bhagalpur,Abhay Kant Jha
48,Munger,164,Tarapur,Dr Santosh Singh
49,Munger,166,Jamalpur,Lallan Ji Yadav
50,Lakhisarai,167,Suryagarha,Amit Sagar
51,Nalanda,174,Islampur,Tanuja Kumari
52,Nalanda,177,Harnaut,Kamlesh Paswan
53,Patna - Barh,180,Bakhtiarpur,Balmiki Singh
54,Patna - Gramin,188,Phulwari (SC),Prof. Shashikant Prasad
55,Patna - Gramin,189,Masaurhi (SC),Rajeshwar Manjhi
56,Bhojpur,192,Sandesh,Rajiv Ranjan Singh
57,Buxar,200,Buxar,Tathagat Harsh Vardhan
58,Buxar,201,Dumraon,Shivang Vijay Singh
59,Buxar,202,Rajpur (SC),Dhananjay Paswan
60,Kaimur (Bhabhua),206,Chainpur,Hemant Chaubey
61,Rohtas,211,Nokha,DSP-Nasrullah Khan
62,Aurangabad,222,Kutumba (SC),Shyam Bali Ram alias Mahabali Paswan
63,Gaya,228,Barachatti (SC),Er. Hemant Paswan
64,Gaya,231,Tikari,Dr. Shashi Yadav
65,Gaya,234,Wazirganj,Santosh Kumar
